"Name","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Allen",3,37,10,84,0.321,32,12,5,40,39,2,3,6,0,55,2,"5697074"
"Southwestern Okla.",4,58,16,151,0.278,54,7,4,65,81,9,1,18,0,75,0,"5676367"
"Harding",4,51,25,154,0.169,49,9,1,65,87,7,0,8,1,64,0,"5676367"
"MSU Moorhead",3,36,20,125,0.128,33,5,7,50,71,5,2,8,1,47,0,"5676362"
"Northern St.",3,43,15,113,0.248,42,5,2,60,55,5,0,12,0,54,0,"5676362"
"Minnesota St.",4,56,24,150,0.213,54,11,8,59,91,7,2,4,0,71,0,"5676369"
"Sioux Falls",4,60,12,135,0.356,53,7,7,60,80,11,4,14,0,78,0,"5676369"
"Southeastern Okla.",4,51,14,155,0.239,37,3,12,69,90,5,1,16,0,63,0,"5676372"
"Ouachita Baptist",4,66,18,172,0.279,56,5,7,80,70,3,1,4,0,74,0,"5676372"
"Southern Nazarene",4,60,19,153,0.268,48,6,4,72,76,7,7,2,0,74,0,"5676373"
"Southern Ark.",4,51,23,152,0.184,47,7,6,67,92,6,2,4,0,62,0,"5676373"
"Augustana (SD)",3,33,22,113,0.097,31,3,6,47,70,7,0,2,0,37,1,"5676356"
"Wayne St. (NE)",3,39,6,94,0.351,36,7,3,48,41,3,2,16,1,56,0,"5676356"
"Okla. Baptist",3,28,14,96,0.146,27,7,7,54,38,2,4,8,3,43,0,"5676380"
"Ark.-Monticello",3,21,25,107,-0.037,20,2,8,46,67,7,4,0,5,27,4,"5676380"
"Northwestern Okla.",4,30,15,119,0.126,28,6,4,41,81,9,1,22,0,48,0,"5676382"
"Arkansas Tech",4,59,24,143,0.245,50,9,11,59,71,6,0,12,0,74,0,"5676382"
"Minn.-Crookston",4,49,25,161,0.149,44,8,12,69,78,3,3,12,1,66,0,"5676385"
"Bemidji St.",4,44,25,148,0.128,42,3,8,74,80,8,8,8,1,59,0,"5676385"
"Salem (WV)",3,25,22,103,0.029,24,2,8,38,71,11,1,8,0,32,0,"5676339"
"Concord",3,34,17,98,0.173,32,11,6,44,45,2,1,10,0,51,0,"5676339"
"Fort Hays St.",3,32,20,123,0.098,32,3,4,48,72,2,2,8,0,41,0,"5676387"
"Central Okla.",3,48,20,124,0.226,44,2,2,68,54,3,4,12,1,60,0,"5676387"
"St. Cloud St.",3,45,11,94,0.362,43,4,5,44,43,1,1,12,2,56,0,"5676389"
"Minn. Duluth",3,29,20,107,0.084,27,1,4,30,69,4,1,6,0,34,1,"5676389"
"East Central",4,54,30,165,0.145,52,10,9,78,85,3,1,22,0,76,0,"5676346"
"Henderson St.",4,53,28,175,0.143,48,3,11,69,95,10,4,20,0,70,0,"5676346"
"Minot St.",3,33,18,110,0.136,28,5,5,53,67,5,0,18,1,47,0,"5676393"
"Mary",3,41,19,117,0.188,37,5,6,52,60,5,0,16,0,54,0,"5676393"
"Southern Wesleyan",4,45,14,129,0.24,43,7,3,59,71,9,1,16,3,61,1,"5676408"
"Lees-McRae",4,46,32,148,0.095,43,9,7,61,91,7,2,4,1,59,0,"5676408"
"Montevallo",5,58,33,170,0.147,54,8,9,72,97,5,1,14,5,74,0,"5676368"
"AUM",5,60,23,164,0.226,57,5,10,75,94,8,4,14,1,76,0,"5676368"
"Cal Poly Humboldt",4,41,29,133,0.09,38,6,5,44,89,8,1,14,0,55,0,"5676345"
"Sonoma St.",4,54,17,134,0.276,49,8,6,56,66,6,4,18,0,75,0,"5676345"
"CSUSB",5,64,21,160,0.269,61,4,7,64,88,7,2,10,2,75,0,"5676344"
"San Fran. St.",5,67,17,163,0.307,61,7,13,59,94,4,2,17,1,84.5,0,"5676344"
"Cal St. Monterey Bay",5,61,36,198,0.126,58,6,5,100,94,7,1,6,1,71,0,"5676343"
"Cal St. East Bay",5,53,24,186,0.156,51,7,9,83,97,6,6,16,1,74,1,"5676343"
"Saint Martin's",5,51,26,138,0.181,47,9,9,48,87,4,2,24,0,74,0,"5676422"
"Mont. St. Billings",5,55,30,146,0.171,53,4,10,56,91,9,2,16,3,69,0,"5676422"
"Simon Fraser",3,46,14,114,0.281,42,2,11,51,61,2,2,22,0,61,0,"5676404"
"Central Wash.",3,35,22,119,0.109,33,2,3,46,63,2,2,12,0,45,1,"5676404"
"Point Loma",3,36,7,72,0.403,31,8,8,25,46,4,0,12,2,50,0,"5676410"
"Biola",3,36,18,84,0.214,36,4,11,26,65,8,2,4,0,44,0,"5676410"
"Western Ore.",5,51,37,165,0.085,48,11,9,73,100,8,1,14,0,70,0,"5676414"
"Seattle Pacific",5,52,22,155,0.194,48,8,5,68,82,11,1,30,3,76,0,"5676414"
"Westmont",4,46,20,139,0.187,42,0,6,57,84,13,1,16,0,55,2,"5676426"
"Vanguard",4,51,22,134,0.216,51,13,7,61,70,0,2,18,3,75,0,"5676426"
"Alas. Anchorage",4,46,14,134,0.239,43,5,11,49,86,10,3,18,5,63,0,"5676407"
"Alas. Fairbanks",4,63,23,142,0.282,62,10,11,66,77,5,1,10,1,79,0,"5676407"
"Walsh",4,43,26,157,0.108,40,3,8,64,94,8,1,10,2,52,0,"5809917"
"Grand Valley St.",4,60,19,152,0.27,54,8,7,81,67,3,2,18,1,79,0,"5809917"
"UIndy",4,57,22,169,0.207,54,4,3,79,90,7,2,12,1,69,0,"5809919"
"Findlay",4,66,22,184,0.239,61,7,7,75,88,4,4,6,0,80,0,"5809919"
"Wis.-Parkside",4,46,31,166,0.09,45,3,13,75,92,3,1,16,0,58,0,"5809918"
"Hillsdale",4,54,23,160,0.194,52,3,8,86,70,3,0,12,0,63,0,"5809918"
"Tiffin",3,32,13,103,0.184,28,4,5,47,70,5,1,24,1,49,0,"5809915"
"Quincy",3,51,16,124,0.282,44,5,6,53,55,4,0,8,1,60,0,"5809915"
"Wayne St. (MI)",3,35,18,97,0.175,30,2,11,39,66,10,3,4,0,42,0,"5809916"
"Mo.-St. Louis",3,34,11,90,0.256,34,10,7,35,48,2,2,4,0,48,0,"5809916"
"Maryville (MO)",3,31,14,109,0.156,29,4,8,55,67,9,0,6,0,38,0,"5676462"
"Ferris St.",3,42,13,116,0.25,37,9,6,61,51,4,3,8,1,58,0,"5676462"
"Saginaw Valley",3,20,25,90,-0.056,20,5,2,27,68,8,0,16,1,33,0,"5809921"
"Upper Iowa",3,39,23,100,0.16,38,8,6,35,53,5,2,8,0,53,0,"5809921"
"Cedarville",4,47,21,127,0.205,44,9,9,45,89,11,4,4,0,62,0,"5809923"
"Davenport",4,61,18,126,0.341,59,11,14,54,81,9,2,4,0,76,1,"5809923"
"Roosevelt",3,34,18,89,0.18,34,4,7,25,69,6,3,4,1,43,0,"5676450"
"Southwest Baptist",3,43,13,87,0.345,40,6,5,28,53,4,2,12,0,57,0,"5676450"
"Ohio Dominican",4,49,24,149,0.168,47,9,4,67,93,9,4,8,0,66,0,"5676453"
"Ill. Springfield",4,60,27,168,0.196,53,9,5,69,87,9,3,14,0,79,0,"5676453"
"Purdue Northwest",4,58,19,173,0.225,52,8,14,86,80,3,0,16,0,74,0,"5676459"
"Missouri S&T",4,49,19,172,0.174,46,3,9,85,80,8,2,16,0,62,0,"5676459"
"Ky. Wesleyan",4,38,39,139,-0.007,37,6,10,59,81,9,0,10,0,49,0,"5676463"
"Truman St.",4,37,16,120,0.175,34,9,13,52,66,6,0,24,2,58,0,"5676463"
"Thomas More",3,22,20,93,0.022,18,2,8,32,69,7,1,2,1,26,0,"5675331"
"Drury",3,36,12,86,0.279,32,7,4,45,34,2,0,10,0,48,0,"5675331"
"Ursuline",3,24,12,99,0.121,23,1,4,38,67,9,1,4,1,28,0,"5809924"
"William Jewell",3,49,16,107,0.308,44,9,7,54,45,1,1,12,0,65,0,"5809924"
"Lewis",4,46,21,167,0.15,45,6,2,86,84,3,0,27,6,65.5,0,"5676451"
"Grand Valley St.",4,68,20,180,0.267,65,3,10,95,82,6,1,12,0,78,0,"5676451"
"Ashland",3,37,12,111,0.225,31,5,8,42,70,6,0,18,3,51,0,"5809929"
"Mo.-St. Louis",3,49,17,116,0.276,44,6,4,59,58,5,0,14,1,62,0,"5809929"
"Northwood",3,28,14,75,0.187,27,1,11,23,64,4,0,2,1,30,0,"5809930"
"Ferris St.",3,46,5,76,0.539,41,4,10,27,34,1,3,4,0,55,0,"5809930"
"Northern Mich.",5,62,25,151,0.245,56,4,6,78,84,9,3,14,1,76,0,"5809927"
"Findlay",5,54,28,173,0.15,52,9,10,57,99,4,0,8,1,67,0,"5809927"
"Michigan Tech",3,32,15,89,0.191,27,7,7,38,68,11,0,10,1,44,0,"5676461"
"Quincy",3,40,13,98,0.276,36,11,6,33,52,7,2,6,1,56,0,"5676461"
"Georgia College",4,30,27,136,0.022,29,3,5,58,87,13,0,14,0,40,1,"5676470"
"Flagler",4,48,19,144,0.201,45,13,13,63,68,3,2,16,0,71,1,"5676470"
"Lake Erie",4,41,21,141,0.142,40,2,2,54,89,14,2,16,0,53,1,"5809932"
"Upper Iowa",4,61,20,146,0.281,59,14,9,66,71,2,2,12,0,83,0,"5809932"
"Rockhurst",5,74,27,164,0.287,69,12,11,71,96,11,3,2,0,90,0,"5676709"
"Hillsdale",5,50,12,148,0.257,44,11,6,53,98,12,2,8,0,67,0,"5676709"
"Shepherd",3,44,17,111,0.243,42,12,6,41,63,8,2,12,0,64,1,"5676480"
"Lock Haven",3,37,16,107,0.196,36,8,8,38,74,12,2,2,0,48,0,"5676480"
"Bentley",3,38,14,112,0.214,35,4,6,49,58,3,7,2,0,50,3,"5676492"
"Southern Conn. St.",3,32,20,110,0.109,30,3,5,46,67,4,4,0,0,39,2,"5676492"
"East Central",3,33,17,107,0.15,29,3,8,52,67,8,0,8,0,40,0,"5676478"
"Ouachita Baptist",3,42,16,113,0.23,36,8,7,53,54,3,1,6,0,54,0,"5676478"
"Okla. Baptist",3,44,17,136,0.199,42,7,4,70,62,3,2,12,0,59,0,"5676479"
"Southern Ark.",3,41,19,139,0.158,39,3,6,64,72,7,3,2,0,48,1,"5676479"
"Southwestern Okla.",3,40,18,112,0.196,37,8,6,51,59,3,1,11,1,54.5,0,"5676482"
"Arkansas Tech",3,38,19,119,0.16,37,3,7,49,68,8,0,6,0,44,0,"5676482"
"Southern Nazarene",4,45,19,184,0.141,38,4,6,106,74,8,8,10,4,62,0,"5676483"
"Ark.-Monticello",4,42,29,188,0.069,40,8,3,110,83,4,4,6,0,57,4,"5676483"
"Spring Hill",3,43,16,103,0.262,40,8,1,49,48,2,7,6,0,61,0,"5676857"
"Tuskegee",3,29,16,100,0.13,28,2,4,37,72,8,6,2,3,38,0,"5676857"
"Southeastern Okla.",4,46,18,172,0.163,39,3,2,87,87,7,1,10,0,55,0,"5676476"
"Henderson St.",4,65,26,198,0.197,61,7,7,94,84,3,4,8,0,80,0,"5676476"
"Northwestern Okla.",4,42,28,157,0.089,38,2,7,70,92,5,4,10,0,53,0,"5676477"
"Harding",4,54,19,159,0.22,50,5,5,78,63,2,4,18,1,72,0,"5676477"
"Missouri S&T",3,40,15,117,0.214,39,4,4,65,52,6,2,12,0,52,0,"5809935"
"Cedarville",3,33,22,131,0.084,31,6,8,52,69,4,1,18,0,49,0,"5809935"
"Ill. Springfield",5,59,24,163,0.215,53,15,8,71,88,6,3,7,1,80.5,0,"5809936"
"Purdue Northwest",5,63,18,160,0.281,60,6,14,76,98,15,5,12,1,80,0,"5809936"
"Ursuline",5,47,29,175,0.103,44,14,7,85,101,16,3,10,0,69,0,"5697169"
"Lake Superior St.",5,58,25,173,0.191,54,16,11,83,92,14,2,24,2,88,0,"5697169"
"Ky. Wesleyan",4,39,31,154,0.052,36,3,7,79,91,9,2,10,0,49,0,"5676703"
"Southwest Baptist",4,49,22,158,0.171,44,9,7,77,66,2,4,14,2,69,0,"5676703"
"Malone",3,21,21,105,0,19,3,2,51,68,10,2,4,1,28,0,"5676457"
