Name,S,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RetAtt,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE,match_id
Elmira,3,15,13,71,0.028,15,6,2,35,66,20,3,0,0,24,0,5667348
Widener,5,45,22,159,0.145,41,10,10,78,102,14,5,8,3,64,0,5667752
Buffalo St.,5,56,31,156,0.16,52,14,6,86,84,10,0,4,1,72,0,5667752
Emmaus,3,38,28,159,0.063,36,3,3,88,66,5,1,2,0,43,0,5667687
Crown (MN),3,39,13,142,0.183,38,5,7,87,61,3,1,4,0,47,0,5667687
Penn St.-Mont Alto,3,38,9,86,0.337,36,17,6,52,28,3,1,10,0,61,0,5682758
Penn College,3,15,14,89,0.011,15,3,6,35,68,17,1,0,2,19,0,5682758
Coe,5,51,15,136,0.265,50,11,10,64,70,2,2,16,1,72,0,5667701
Northwestern-St. Paul,5,47,30,145,0.117,46,2,12,66,96,11,1,6,1,53,0,5667701
East Tex. Baptist,5,56,35,178,0.118,55,10,7,76,101,6,0,16,0,74,1,5667707
Trinity (TX),5,64,15,164,0.299,64,6,12,72,88,10,1,34,1,88,0,5667707
Kuyper,3,14,14,70,0,14,3,4,31,62,17,1,0,1,18,0,5667711
North Central (MN),3,35,12,83,0.277,27,17,12,38,43,3,2,0,2,54,0,5667711
Schreiner,5,53,23,170,0.176,43,8,13,81,81,10,1,8,0,66,1,5667727
Lewis & Clark,5,39,27,160,0.075,35,10,8,80,88,8,0,0,0,49,0,5667727
Macalester,4,49,17,151,0.212,46,7,6,85,70,7,1,14,1,64,0,5667739
Augustana (IL),4,50,33,179,0.095,47,7,12,76,95,7,0,8,1,61,0,5667739
WashU,5,70,17,184,0.288,62,3,8,107,94,10,2,8,0,79,0,5667740
Hope,5,65,16,202,0.243,58,10,9,86,93,3,1,6,0,79,0,5667740
John Carroll,5,52,23,156,0.186,43,9,7,59,95,12,1,14,0,69,0,5667741
Greenville,5,60,26,155,0.219,57,12,11,75,95,9,2,18,0,83,0,5667741
LeTourneau,4,48,31,174,0.098,47,5,10,69,93,2,1,18,0,63,0,5667742
CWRU,4,51,22,150,0.193,40,2,3,84,73,5,1,18,0,63,0,5667742
La. Christian,5,54,29,183,0.137,49,11,6,79,103,8,4,6,2,72,2,5667743
Millsaps,5,61,37,191,0.126,55,8,3,82,100,11,7,4,1,78,1,5667743
Lyon,3,33,18,81,0.185,30,7,8,27,48,5,1,6,1,44,0,5667997
Belhaven,3,22,20,74,0.027,20,5,9,24,65,7,2,2,0,30,3,5667997
Alvernia,3,22,22,117,0,21,6,8,54,66,9,0,4,2,30,0,5667757
Moravian,3,32,13,103,0.184,29,9,8,67,43,6,1,8,1,46,0,5667757
