"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"4474779","Pepperdine","Southern California","Firestone Fieldhouse (Malibu, CA)","03/14/2024 09:00 PM","789",22,28,25,25,NA,25,26,23,20,NA,""
"4474782","UC San Diego","CSUN","LionTree Arena (La Jolla, CA)","03/14/2024 10:00 PM","429",20,25,25,25,NA,25,22,12,22,NA,""
"4474794","Charleston (WV)","North Greenville","Belmont, NC","03/15/2024 03:00 PM","75",25,21,21,25,NA,14,25,25,27,NA,"at Belmont, NC"
"4474796","FDU","Princeton","Bogota Savings Bank Center (Hackensack, NJ)","03/15/2024 05:00 PM","102",18,25,25,24,8,25,19,20,26,15,""
"4493108","Edward Waters","Reinhardt","Laurinburg, NC","03/15/2024 05:30 PM","38",17,19,25,25,19,25,25,22,23,21,"at Laurinburg, NC"
"4474799","Thomas More","Lincoln Memorial","Connor Convocation Center (Crestview Hills, KY)","03/15/2024 06:00 PM","186",19,25,15,14,NA,25,23,25,25,NA,""
"4474806","Belmont Abbey","Tusculum","Wheeler Center Belmont Abbey (Belmont, NC)","03/15/2024 07:00 PM","172",25,20,25,25,NA,20,25,23,21,NA,""
"4474819","Dominican (NY)","Kentucky St.","Orangeburg, NY","03/15/2024 07:00 PM","79",25,25,25,NA,NA,20,20,23,NA,NA,""
"4474818","George Mason","Mount Olive","EagleBank Arena (Fairfax, VA)","03/15/2024 07:00 PM","534",30,25,25,NA,NA,28,21,22,NA,NA,""
"4474813","Purdue Fort Wayne","Lindenwood","Gates Sports Center (Fort Wayne, IN)","03/15/2024 07:00 PM","503",25,25,29,NA,NA,23,23,27,NA,NA,""
"4474821","LIU","St. Thomas Aquinas","Brookville, NY","03/15/2024 07:00 PM","152",25,25,25,NA,NA,13,11,16,NA,NA,""
"4474807","King (TN)","Warner","Bristol, TN","03/15/2024 07:00 PM","134",25,25,25,NA,NA,19,18,18,NA,NA,""
"4474809","Sacred Heart","Merrimack","Fairfield, CT","03/15/2024 07:00 PM","212",25,25,25,NA,NA,19,22,21,NA,NA,""
"4474803","UC Santa Barbara","UC Irvine","Santa Barbara, CA","03/15/2024 09:00 PM","873",20,15,22,NA,NA,25,25,25,NA,NA,""
"4474802","Grand Canyon","NJIT","GCU Arena (Phoenix, AZ)","03/15/2024 09:00 PM","647",17,25,25,25,NA,25,17,18,16,NA,""
"4474798","CSUN","UC San Diego","Premier America Credit Union Arena (Northridge, CA)","03/15/2024 09:00 PM","217",25,25,18,23,12,22,18,25,25,15,""
"4474810","Long Beach St.","Hawaii","Long Beach, CA","03/15/2024 10:00 PM","4012",25,25,30,NA,NA,22,20,28,NA,NA,""
"4474825","Merrimack","Sacred Heart","North Andover, MA","03/16/2024 12:00 AM","169",25,29,25,25,NA,27,27,22,23,NA,""
"4474827","Ball St.","Lindenwood","Muncie, IN","03/16/2024 12:00 AM","843",25,25,25,NA,NA,23,19,23,NA,NA,""
"4474834","D'Youville","Lincoln Memorial","Wilberforce, OH","03/16/2024 11:00 AM","68",21,17,17,NA,NA,25,25,25,NA,NA,"at Wilberforce, OH"
"4474885","Tusculum","Fort Valley St.","Charlotte, NC","03/16/2024 11:00 AM","38",20,29,18,25,17,25,27,25,18,15,"at Charlotte, NC"
"4474848","Queens (NC)","Fort Valley St.","Charlotte, NC","03/16/2024 12:00 PM","49",25,25,25,NA,NA,20,20,20,NA,NA,""
"4474851","St. Thomas Aquinas","Kentucky St.","Sparkill, NY","03/16/2024 12:00 PM","60",25,25,25,NA,NA,23,12,19,NA,NA,""
"4474860","Central St. (OH)","D'Youville","Wilberforce, OH","03/16/2024 01:00 PM","68",19,22,15,NA,NA,25,25,25,NA,NA,""
"4474864","American Int'l","Roberts Wesleyan","Henry Butova Gymnasium (Springfield, MA)","03/16/2024 01:00 PM","67",25,25,25,NA,NA,17,21,19,NA,NA,""
"4474868","Belmont Abbey","Charleston (WV)","Wheeler Center Belmont Abbey (Belmont, NC)","03/16/2024 02:00 PM","104",16,25,25,20,12,25,16,21,25,15,""
"4474869","King (TN)","Talladega","Bristol, TN","03/16/2024 02:00 PM","109",25,25,25,NA,NA,15,22,15,NA,NA,""
"4474876","Central St. (OH)","Lincoln Memorial","Wilberforce, OH","03/16/2024 02:30 PM","68",14,13,14,NA,NA,25,25,25,NA,NA,""
