"Name","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Missouri S&T",3,0,25,15,70,0.143,24,2,8,16,7,2,4,0,31,0,"6083848"
"UC Irvine",3,0,44,14,79,0.38,44,7,12,27,2,2,10,1,58,0,"6083848"
"Maryville (MO)",4,0,50,17,103,0.32,48,2,12,28,6,0,14,0,59,1,"6083855"
"Loyola Chicago",4,0,63,11,105,0.495,54,6,17,28,2,2,6,2,74,0,"6083855"
"Penn St.",3,0,33,16,72,0.236,31,3,19,20,8,0,6,1,39,0,"6083857"
"Lewis",3,0,32,8,65,0.369,30,8,8,20,3,2,15,1,49.5,0,"6083857"
"Rockhurst",5,0,68,32,187,0.193,66,6,18,63,5,5,20,3,89,0,"6083860"
"McKendree",5,0,71,29,173,0.243,69,5,18,68,6,1,26,4,90,0,"6083860"
"Ball St.",3,0,36,13,85,0.271,34,4,14,15,5,1,16,2,49,0,"6083852"
"Stanford",3,0,47,17,83,0.361,45,5,12,26,4,0,7,0,55.5,0,"6083852"
"St. Thomas Aquinas",3,0,27,17,62,0.161,25,2,8,10,8,0,4,2,31,0,"6083856"
"BYU",3,0,42,5,62,0.597,40,8,13,15,2,0,15,1,57.5,0,"6083856"
"Princeton",3,0,32,20,96,0.125,30,1,10,34,2,1,5,1,36.5,0,"6083854"
"Southern California",3,0,42,13,95,0.305,39,2,16,33,1,3,16,1,55,0,"6083854"
"Daemen",4,0,49,19,104,0.288,47,8,19,32,7,3,17,0,68.5,0,"6083858"
"CUI",4,0,43,18,106,0.236,39,7,17,30,8,1,16,0,59,0,"6083858"
"Tusculum",3,0,22,11,63,0.175,22,2,9,19,8,2,12,0,32,0,"6083853"
"UC Santa Barbara",3,0,44,18,85,0.306,43,8,16,22,2,0,9,2,56.5,0,"6083853"
"Charleston (WV)",5,0,60,23,144,0.257,56,2,20,45,4,1,11,0,68.5,0,"6083862"
"Queens (NC)",5,0,62,17,129,0.349,58,4,22,44,2,4,14,0,77,0,"6083862"
"Missouri S&T",3,0,19,16,72,0.042,18,1,8,17,8,1,8,0,25,0,"6083863"
"Pepperdine",3,0,43,9,72,0.472,36,8,8,31,1,2,12,0,59,0,"6083863"
"Central St. (OH)",3,0,24,25,92,-0.011,24,5,15,21,3,10,2,0,40,0,"6083866"
"Thomas More",3,0,37,22,88,0.17,37,3,13,40,5,5,0,0,45,0,"6083866"
"Roosevelt",3,0,30,18,79,0.152,28,6,9,22,5,0,0,0,36,0,"6083865"
"Lewis",3,0,41,6,74,0.473,40,5,9,27,6,0,16,1,54,0,"6083865"
"George Mason",3,0,18,24,67,-0.09,18,2,11,17,5,2,4,2,24,0,"6083864"
"UC San Diego",3,0,35,9,66,0.394,30,5,20,21,2,2,16,0,50,0,"6083864"
"Barry",4,0,28,26,102,0.02,26,0,11,29,8,6,8,7,38,0,"6083868"
"FDU",4,0,52,19,108,0.306,48,8,20,39,0,3,10,4,68,0,"6083868"
"Belmont Abbey",4,0,52,19,120,0.275,48,5,11,36,2,5,11,1,67.5,1,"6083870"
"Catawba",4,0,44,22,113,0.195,41,2,14,39,5,1,9,4,51.5,1,"6083870"
"Long Beach St.",3,0,44,9,81,0.432,36,2,17,18,2,3,4,0,51,1,"6083867"
"Lindenwood",3,0,36,13,71,0.324,34,2,15,20,2,2,0,0,40,0,"6083867"
"SUNY New Paltz",3,0,28,11,63,0.27,27,1,20,16,5,0,6,2,32,0,"6317566"
"Menlo",3,0,34,6,65,0.431,33,5,11,22,1,0,10,1,44,0,"6317566"
"Princeton",4,0,42,13,81,0.358,40,6,17,15,16,1,10,2,54,0,"6083869"
"Hawaii",4,0,48,16,84,0.381,44,16,16,18,6,1,2,0,66,0,"6083869"
"Roberts Wesleyan",4,0,37,22,118,0.127,36,4,22,39,7,3,11,2,49.5,0,"6083871"
"LIU",4,0,46,17,119,0.244,45,7,24,45,4,2,19,2,64.5,2,"6083871"
"Quincy",4,0,59,18,113,0.363,57,4,19,36,3,0,10,1,68,2,"6083872"
"Roosevelt",4,0,42,16,103,0.252,40,3,13,32,4,1,6,1,49,2,"6083872"
"Queens (NC)",3,0,35,9,91,0.286,34,4,13,35,2,2,12,2,47,0,"6083875"
"Belmont Abbey",3,0,46,25,113,0.186,44,2,16,37,4,0,11,0,53.5,0,"6083875"
"Barry",3,0,27,15,64,0.188,26,7,16,14,7,1,10,2,40,0,"6083877"
"Dominican (NY)",3,0,37,12,66,0.379,34,7,16,18,7,1,9,4,49.5,0,"6083877"
"Thomas More",4,0,46,16,96,0.313,41,7,16,37,4,7,10,1,65,0,"6312061"
"Mt. St. Joseph",4,0,42,20,103,0.214,38,4,18,28,7,1,10,2,52,0,"6312061"
"BYU",5,0,63,19,138,0.319,57,3,25,54,6,2,14,0,75,0,"6083874"
"Ball St.",5,0,47,23,137,0.175,38,6,20,44,3,3,20,0,66,0,"6083874"
"Long Beach St.",3,0,43,7,81,0.444,38,6,14,35,3,0,14,0,56,0,"6083876"
"McKendree",3,0,25,12,77,0.169,24,3,11,26,6,0,5,0,30.5,0,"6083876"
"Barry",4,0,37,25,108,0.111,34,6,15,33,7,2,24,0,57,0,"6083878"
"St. Thomas Aquinas",4,0,47,24,106,0.217,44,7,12,41,6,3,18,0,66,0,"6083878"
"Roberts Wesleyan",3,0,34,18,88,0.182,31,2,9,25,2,2,4,1,40,0,"6083879"
"NJIT",3,0,43,5,75,0.507,41,2,10,25,2,0,12,2,51,0,"6083879"
"Penn St.",3,0,22,22,60,0,18,4,21,10,5,1,8,0,31,0,"6083907"
"UCLA",3,0,27,11,53,0.302,27,5,22,15,4,2,18,1,43,0,"6083907"
"Sacred Heart",5,0,55,25,125,0.24,50,4,17,42,6,3,12,5,68,0,"6083882"
"FDU",5,0,60,22,137,0.277,57,6,19,42,4,1,30,8,82,0,"6083882"
"Tusculum",3,0,28,10,71,0.254,24,5,16,17,1,2,22,1,46,0,"6083885"
"Erskine",3,0,28,24,74,0.054,24,1,15,28,5,0,8,1,33,1,"6083885"
"Mount Olive",3,0,43,13,86,0.349,40,7,11,38,4,1,6,1,54,0,"6083883"
"Fort Valley St.",3,0,28,10,83,0.217,28,4,13,21,7,1,7,0,36.5,0,"6083883"
"Russell Sage",4,0,31,21,101,0.099,30,8,14,26,5,0,26,2,52,0,"6316094"
"American Int'l",4,0,55,28,114,0.237,52,5,17,41,8,2,10,0,67,0,"6316094"
"Barry",3,0,27,20,77,0.091,27,6,8,18,10,0,6,0,36,0,"6083891"
"LIU",3,0,37,8,66,0.439,34,10,10,21,6,1,10,1,53,0,"6083891"
"Lees-McRae",3,0,25,15,76,0.132,24,0,14,20,6,1,0,0,26,1,"6083896"
"Catawba",3,0,39,11,73,0.384,38,6,16,25,0,1,9,1,50.5,0,"6083896"
"Lincoln Memorial",3,0,42,10,75,0.427,39,0,14,24,0,9,6,0,54,0,"6083894"
"Charleston (WV)",3,0,37,22,96,0.156,35,0,13,21,0,1,0,0,38,0,"6083894"
"BYU",5,0,65,20,142,0.317,61,3,11,44,4,2,19,0,79.5,0,"6083893"
"Ball St.",5,0,63,25,147,0.259,59,4,16,38,3,0,23,1,78.5,0,"6083893"
"Lindenwood",4,0,42,30,117,0.103,39,9,20,34,5,2,10,2,58,0,"6083880"
"UC San Diego",4,0,39,19,97,0.206,39,5,19,36,9,3,16,1,55,0,"6083880"
"Saint Francis",3,0,24,18,73,0.082,22,1,14,19,10,1,2,0,27,0,"6083889"
"Loyola Chicago",3,0,33,4,61,0.475,30,10,12,22,1,2,15,0,52.5,1,"6083889"
"George Mason",3,0,32,16,85,0.188,32,3,15,19,3,1,4,1,38,0,"6083884"
"Grand Canyon",3,0,42,9,71,0.465,38,3,13,24,3,0,8,0,49,0,"6083884"
"Ohio St.",3,0,21,27,74,-0.081,21,2,7,17,11,0,15,2,30.5,0,"6083902"
"Stanford",3,0,30,14,65,0.246,29,11,15,20,2,1,24,0,54,0,"6083902"
"Rockhurst",3,0,29,17,84,0.143,29,2,10,25,7,4,2,0,36,0,"6083892"
"Lewis",3,0,40,15,83,0.301,34,7,8,30,2,1,5,2,50.5,0,"6083892"
"Springfield",3,0,32,17,76,0.197,30,5,16,18,11,0,8,2,41,0,"6300460"
"CUI",3,0,31,12,65,0.292,28,11,12,21,5,5,9,1,51.5,0,"6300460"
"Emmanuel (GA)",3,0,20,17,70,0.043,20,0,9,21,8,1,4,2,23,0,"6083887"
"UC Santa Barbara",3,0,40,10,74,0.405,34,8,12,24,0,1,6,2,52,0,"6083887"
"Purdue Fort Wayne",3,0,33,16,79,0.215,32,1,16,18,5,1,5,0,37.5,0,"6083886"
"CSUN",3,0,40,10,78,0.385,39,5,16,26,1,2,11,2,52.5,0,"6083886"
"D'Youville",3,0,26,23,87,0.034,24,4,16,25,4,0,9,1,34.5,0,"6083888"
"Southern California",3,0,32,8,72,0.333,28,4,13,29,4,4,10,0,45,0,"6083888"
"Princeton",3,0,29,19,74,0.135,28,0,8,20,9,1,15,1,37.5,0,"6083890"
"Hawaii",3,0,39,14,75,0.333,34,9,14,21,0,2,15,0,57.5,0,"6083890"
"American Int'l",3,0,25,17,71,0.113,24,2,5,27,8,2,10,3,34,0,"6314199"
"MIT",3,0,43,10,83,0.398,39,8,17,26,2,1,8,1,56,0,"6314199"
"Mount Olive",4,0,51,11,106,0.377,46,3,17,31,8,3,8,0,61,0,"6083898"
