Team,Conference
 West Tex. A&M,Lone Star
 DBU,Lone Star
 UT Tyler,Lone Star
 Texas Woman's,Lone Star
 Okla. Christian,Lone Star
 Tex. Permian Basin,Lone Star
 St. Mary's (TX),Lone Star
 Tex. A&M-Kingsville,Lone Star
 Midwestern St.,Lone Star
 Lubbock Christian,Lone Star
 St. Edward's,Lone Star
 Tex. A&M Int'l,Lone Star
 Western N.M.,Lone Star
 Eastern N.M.,Lone Star
 Sul Ross St.,Lone Star
 Cameron,Lone Star
 Charleston (WV),MEC
 Wheeling,MEC
 West Virginia St.,MEC
 Fairmont St.,MEC
 Concord,MEC
 West Liberty,MEC
 West Va. Wesleyan,MEC
 Frostburg St.,MEC
 Davis & Elkins,MEC
 Glenville St.,MEC
 Central Okla.,Mid-America Intercollegiate
 Neb.-Kearney,Mid-America Intercollegiate
 Missouri Western,Mid-America Intercollegiate
 Washburn,Mid-America Intercollegiate
 Emporia St.,Mid-America Intercollegiate
 Northwest Mo. St.,Mid-America Intercollegiate
 Ark.-Fort Smith,Mid-America Intercollegiate
 Fort Hays St.,Mid-America Intercollegiate
 Central Mo.,Mid-America Intercollegiate
 Pittsburg St.,Mid-America Intercollegiate
 Mo. Southern St.,Mid-America Intercollegiate
 Newman,Mid-America Intercollegiate
 Bentley,NE10
 American Int'l,NE10
 Adelphi,NE10
 New Haven,NE10
 Pace,NE10
 St. Anselm,NE10
 Southern N.H.,NE10
 Saint Michael's,NE10
 Assumption,NE10
 Southern Conn. St.,NE10
 Franklin Pierce,NE10
 St. Cloud St.,NSIC
 Southwest Minn. St.,NSIC
 Concordia-St. Paul,NSIC
 Wayne St. (NE),NSIC
 Northern St.,NSIC
 Minnesota St.,NSIC
 Winona St.,NSIC
 Minn. Duluth,NSIC
 Sioux Falls,NSIC
 Augustana (SD),NSIC
 MSU Moorhead,NSIC
 Bemidji St.,NSIC
 Minn.-Crookston,NSIC
 Mary,NSIC
 Minot St.,NSIC
 Point Loma,PacWest
 Chaminade,PacWest
 Fresno Pacific,PacWest
 CUI,PacWest
 Azusa Pacific,PacWest
 Hawaii Hilo,PacWest
 Westmont,PacWest
 Biola,PacWest
 Dominican (CA),PacWest
 Academy of Art,PacWest
 Hawaii Pacific,PacWest
 Lander,Peach Belt
 Augusta,Peach Belt
 Flagler,Peach Belt
 USC Aiken,Peach Belt
 Georgia College,Peach Belt
 Shepherd,PSAC
 Gannon,PSAC
 Indiana (PA),PSAC
 East Stroudsburg,PSAC
 Seton Hill,PSAC
 Pitt.-Johnstown,PSAC
 Shippensburg,PSAC
 Clarion,PSAC
 Edinboro,PSAC
 Millersville,PSAC
 West Chester,PSAC
 Slippery Rock,PSAC
 Bloomsburg,PSAC
 Lock Haven,PSAC
 California (PA),PSAC
 Kutztown,PSAC
 MSU Denver,RMAC
 Colorado Mesa,RMAC
 South Dakota Mines,RMAC
 Colo. Christian,RMAC
 CSU Pueblo,RMAC
 Regis (CO),RMAC
 Western Colo.,RMAC
 UC-Colo. Springs,RMAC
 Westminster (UT),RMAC
 Adams St.,RMAC
 Fort Lewis,RMAC
 Colo. Sch. of Mines,RMAC
 Chadron St.,RMAC
 N.M. Highlands,RMAC
 Black Hills St.,RMAC
 Wingate,SAC
 Lenoir-Rhyne,SAC
 Lincoln Memorial,SAC
 Anderson (SC),SAC
 Mars Hill,SAC
 Carson-Newman,SAC
 Tusculum,SAC
 UVA Wise,SAC
 Newberry,SAC
 Limestone,SAC
 Coker,SAC
 Emory & Henry,SAC
 Catawba,SAC
 Spring Hill,SIAC
 Albany St. (GA),SIAC
 Benedict,SIAC
 Fort Valley St.,SIAC
 Savannah St.,SIAC
 Clark Atlanta,SIAC
 Central St. (OH),SIAC
 Kentucky St.,SIAC
 Lane,SIAC
 Tuskegee,SIAC
 Allen,SIAC
 Edward Waters,SIAC
 Miles,SIAC
 LeMoyne-Owen,SIAC
 Lynn,Sunshine State
 Tampa,Sunshine State
 Barry,Sunshine State
 Embry-Riddle (FL),Sunshine State
 Florida Tech,Sunshine State
 Nova Southeastern,Sunshine State
 Fla. Southern,Sunshine State
 Eckerd,Sunshine State
 Rollins,Sunshine State
 Palm Beach Atl.,Sunshine State
 Saint Leo,Sunshine State
